,date,time,abstract,sentiment_score
46,2018-01-03,19:40:26+0000,"Federal Reserve officials agreed that additional rate hikes are coming but disagreed about the frequency of such increases, according to minutes of the December meeting.","{'neg': 0.107, 'neu': 0.836, 'pos': 0.056, 'compound': -0.34}"
47,2018-02-23,23:28:04+0000,"The Fed’s biannual policy report to Congress made little mention of the stock market’s fluctuations, but it affirmed plans to raise interest rates.","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.6124}"
48,2018-01-01,01:30:01+0000,"The Fed will be releasing the minutes of its last meeting, when it raised interest rates, perhaps giving insight into its thinking on economic growth.","{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.7906}"
49,2018-02-12,16:29:38+0000,The Fed’s sanctions against Wells Fargo are unprecedented. The question now is whether they are just a one-time action on an outlier.,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.25}"
50,2018-05-04,23:20:56+0000,The deal would end a class-action suit by shareholders who claimed they were harmed by the bank’s false statements about a scandal over sham accounts.,"{'neg': 0.222, 'neu': 0.778, 'pos': 0.0, 'compound': -0.7184}"
51,2018-01-19,22:50:52+0000,President Trump has repeatedly said that a government shutdown would devastate the military. But many parts of the military would continue to operate.,"{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.6249}"
52,2018-04-15,19:40:07+0000,"Maurice R. Greenberg wants to curb the Martin Act, the regulation that led to his ouster at A.I.G., as well as other state securities rules.","{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.5106}"
53,2018-03-16,13:57:17+0000,"The economy is humming and unemployment low, but many people still aren’t setting much aside for later. One program hopes to change that by offering the prospect of an extra reward.","{'neg': 0.085, 'neu': 0.633, 'pos': 0.281, 'compound': 0.8765}"
54,2018-05-18,16:31:28+0000,"A stronger economy makes it more likely that graduates will be able to find jobs and meet their loan payments, but there are reasons to be cautious.","{'neg': 0.058, 'neu': 0.876, 'pos': 0.066, 'compound': 0.0516}"
55,2018-01-18,19:53:57+0000,"The Consumer Financial Protection Bureau’s acting director is paying operations costs from its reserves this quarter, his latest move to curb the agency.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
56,2018-01-04,14:56:55+0000,"The benchmark stock index topped 25,000 points for the first time, maintaining an ascent that began in early 2016.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
57,2018-03-09,17:03:02+0000,Investors appeared relieved that the United States economy continues to be adding jobs without the rapid growth in wages that could signal mounting inflation.,"{'neg': 0.076, 'neu': 0.735, 'pos': 0.189, 'compound': 0.4966}"
58,2018-04-05,18:58:55+0000,"Mick Mulvaney, who is trying to rein in the Consumer Financial Protection Bureau, awarded large pay increases to two recent recruits.","{'neg': 0.061, 'neu': 0.823, 'pos': 0.117, 'compound': 0.3182}"
59,2018-06-22,09:00:13+0000,The fortunes of the largest United States banks have changed remarkably over the past decade. So is it time to loosen regulation?,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.4215}"
60,2018-04-29,19:18:19+0000,A crucial deadline will expire on Tuesday for six U.S. allies temporarily exempted from steel and aluminum trade tariffs. Apple and Tesla report earnings.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,2018-02-12,02:00:39+0000,President Trump will unveil his plan to rebuild the nation’s aging bridges and roads. But the big news for the week will be consumer prices.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,2018-01-11,01:14:09+0000,The most immediate fear: A sharp falloff in bond prices would rattle equity markets that are now trading at record highs.,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.539}"
63,2018-06-17,20:42:47+0000,Wall Street is betting that the trade frictions won’t derail the United States’ strong economy. But will investors shrug off an escalation?,"{'neg': 0.081, 'neu': 0.696, 'pos': 0.223, 'compound': 0.5994}"
64,2018-02-01,20:09:19+0000,"President Trump is taking plenty of credit for positive economic signs — the stock market, jobs, growth. Is it warranted?","{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8316}"
65,2018-02-28,10:01:00+0000,It’s an uncertainty that has huge economic consequences.,"{'neg': 0.224, 'neu': 0.561, 'pos': 0.215, 'compound': -0.0258}"
66,2018-03-26,01:00:06+0000,"Saudi officials to visit Wall Street this week, a report on Americans’ incomes and the New York auto show.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,2018-06-14,13:11:00+0000,"The country’s focus on reducing its debt has left small businesses facing a credit crunch, and the economy appears to be slowing.","{'neg': 0.104, 'neu': 0.788, 'pos': 0.108, 'compound': 0.0258}"
68,2018-03-01,20:46:08+0000,"Stock markets fell 2 percent Thursday, before a partial recovery. Investors are worried that the tariffs could disrupt global economic growth.","{'neg': 0.101, 'neu': 0.78, 'pos': 0.119, 'compound': 0.1027}"
69,2018-05-13,20:55:24+0000,"The metal tariffs were supposed to protect manufacturers. But they are also delaying investment, expansion and hiring until companies know where they stand.","{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818}"
70,2018-03-01,20:46:08+0000,"Stock markets fell 2 percent Thursday, before a partial recovery. Investors are worried that the tariffs could disrupt global economic growth.","{'neg': 0.101, 'neu': 0.78, 'pos': 0.119, 'compound': 0.1027}"
71,2018-03-05,02:00:04+0000,"The unemployment rate could tick down to 4 percent, but chances are good that the trade talks extend into April.","{'neg': 0.078, 'neu': 0.599, 'pos': 0.323, 'compound': 0.7311}"
72,2018-06-28,19:09:49+0000,Shares of the largest banks closed down Wednesday for the 13th straight trading day.,"{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.4767}"
73,2018-06-28,16:19:22+0000,China’s stock market has fallen into a bear market and the currency is tumbling on worries about tariffs and China’s efforts to rein in domestic debt.,"{'neg': 0.262, 'neu': 0.738, 'pos': 0.0, 'compound': -0.7783}"
74,2018-04-08,18:23:20+0000,"A delayed budget forecast is released and Mark Zuckerberg appears before Congress. Also, China’s president is expected to unveil economic measures and President Trump travels to Peru.","{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.2263}"
75,2018-02-15,20:12:57+0000,"It’s long been believed that inflation and higher interest rates are bad for stock prices. Now, it’s unclear how the markets will react.","{'neg': 0.193, 'neu': 0.702, 'pos': 0.105, 'compound': -0.3612}"
76,2018-04-19,20:35:19+0000,"Two federal regulators are expected to penalize the bank for its alleged misconduct, people familiar with the action said.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,2018-03-05,12:34:52+0000,The Federal Reserve is in the process of working with other regulatory agencies to make “material changes” to the rule.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
78,2018-01-18,17:26:38+0000,"Gone: Dina Powell, Steve Bannon and Anthony Scaramucci. Going: Gary Cohn. Some reputations remain intact.","{'neg': 0.0, 'neu': 0.886, 'pos': 0.114, 'compound': 0.2023}"
79,2018-02-14,14:40:20+0000,Stocks closed higher on Wednesday after reports showed slumping retail sales but a rate of inflation that exceeded estimates.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,2018-02-02,19:50:17+0000,"U.S. stocks have ended their worst week since February 2016, as investors worried about rising interest rates after a long market boom.","{'neg': 0.231, 'neu': 0.659, 'pos': 0.11, 'compound': -0.5106}"
81,2018-03-12,01:00:05+0000,"The government is increasing the sale of bonds to finance the growing deficit. Volkswagen’s board holds a news conference, and a report on inflation.","{'neg': 0.111, 'neu': 0.82, 'pos': 0.07, 'compound': -0.25}"
82,2018-03-01,12:30:49+0000,"If history is any indicator, investors might take a trade skirmish in stride.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
83,2018-06-20,22:19:34+0000,Accelerating growth has given the administration more leverage over trading partners. But economists warn of potential headwinds beyond this year.,"{'neg': 0.064, 'neu': 0.818, 'pos': 0.118, 'compound': 0.296}"
84,2018-04-09,11:19:06+0000,"The federal deficit is set to widen significantly in the next few years, despite healthy economic growth, according to new projections from the C.B.O.","{'neg': 0.254, 'neu': 0.746, 'pos': 0.0, 'compound': -0.7304}"
85,2018-04-13,14:18:24+0000,The combination of wild stock markets and regulators loosening capital requirements translated into bumper profits for Citigroup and JPMorgan.,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.4404}"
86,2018-02-20,15:02:42+0000,Republicans seek a leaner welfare system tying government benefits to hard work. But such benefits are worthless when there is no work to be had.,"{'neg': 0.212, 'neu': 0.619, 'pos': 0.169, 'compound': -0.0772}"
87,2018-03-16,09:00:17+0000,"The United States just started another epic borrowing binge. And if you borrow money — through a credit card, a mortgage or an auto loan — you could end up paying the price. ","{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.6597}"
88,2018-02-09,12:48:19+0000,"For the week, the S.&P. 500 and the Dow tumbled 5.2 percent, their steepest weekly declines since January 2016.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
89,2018-03-05,19:41:10+0000,"Five months after Hurricane Maria, businesses small and large are still grappling with a lack of electricity, worker shortages and a gutted tourism industry.","{'neg': 0.163, 'neu': 0.837, 'pos': 0.0, 'compound': -0.4404}"
90,2018-01-19,02:03:43+0000,"By lowering rates, the law reduces the value of tax credits that have been crucial to rental projects nationwide, with the effect being felt already.","{'neg': 0.069, 'neu': 0.761, 'pos': 0.17, 'compound': 0.4404}"
91,2018-02-19,02:00:14+0000,"The Berkshire Hathaway boss’s note could preview succession plans. Also, the Fed and the European Central Bank will release details of their recent meetings.","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}"
92,2018-02-06,10:00:24+0000,"After the Dow Jones industrial average index shed 1,175 points on Monday, investors will be wondering whether the sell-off will gather steam or burn out.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
93,2018-03-21,11:55:59+0000,"Facebook’s chief executive posted a statement on his Facebook page, saying he was taking action to prevent people’s data from being misused.","{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.0258}"
94,2018-04-24,18:55:47+0000,Regulators are on the verge of reducing a post-crisis requirement that banks maintain a certain amount of capital based on their total size. That has put regulators at odds.,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.2732}"
95,2018-06-22,21:35:25+0000,The bank stress tests suggest Goldman Sachs and Morgan Stanley may end up with smaller stock buybacks. But the calculations are far from straightforward.,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.4215}"
96,2018-04-24,19:34:18+0000,A combination of disappointing corporate earnings and early signs that inflation could be accelerating pushed stock markets lower.,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.6597}"
97,2018-02-13,12:10:42+0000,"Lloyd Blankfein, Goldman’s chief executive, seemed to embrace the recent market volatility at a conference on Tuesday.","{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.3182}"
98,2018-04-06,09:00:23+0000,"Payroll expansion was far short of February’s torrid pace and weaker than economists expected, but still yielded the 90th straight month of job gains.","{'neg': 0.069, 'neu': 0.739, 'pos': 0.192, 'compound': 0.5423}"
99,2018-02-06,05:55:25+0000,"A day after markets fell more than 4 percent, Wall Street enjoyed a positive Tuesday as gains in consumer stocks helped stop a global sell-off.","{'neg': 0.077, 'neu': 0.596, 'pos': 0.326, 'compound': 0.7964}"
100,2018-04-17,13:00:04+0000,"The world economy is looking brighter than it has in years, but as leaders converge on Washington this week, they will have one eye on potential disruptions from the White House.","{'neg': 0.091, 'neu': 0.855, 'pos': 0.053, 'compound': -0.3182}"
101,2018-05-04,09:00:17+0000,"With 164,000 jobs added in April, it was the 91st consecutive month of gains, far and away the longest streak of increases on record.","{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}"
102,2018-05-29,13:15:43+0000,"Italy has not had a new government since holding elections in March. But in the past week, the country’s politics exhibited a new level of unpredictability.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,2018-03-01,01:10:21+0000,"A lawsuit by a former employee claims that when customers complained of fraudulent activity in their accounts, the bank closed the accounts instead of investigating them.","{'neg': 0.271, 'neu': 0.729, 'pos': 0.0, 'compound': -0.7783}"
104,2018-02-06,01:28:17+0000,"Stocks around the globe tumbled on Monday, extending a sell-off that began last week. It’s a sign of shifting economic tides, but there have been far worse Mondays for the markets.","{'neg': 0.129, 'neu': 0.871, 'pos': 0.0, 'compound': -0.631}"
105,2018-04-17,15:54:35+0000,"To protect the public without overreacting, the issue for legislators and regulators to weigh is how much the data-driven ecosystem is worth to us.","{'neg': 0.0, 'neu': 0.83, 'pos': 0.17, 'compound': 0.5423}"
106,2018-04-02,23:07:04+0000,"Mr. Mulvaney, the acting director of the Consumer Financial Protection Bureau, wants to curb the power of an agency he has long criticized.","{'neg': 0.102, 'neu': 0.898, 'pos': 0.0, 'compound': -0.3612}"
107,2018-03-07,18:39:30+0000,The administration is expected to formally announce tariffs on Thursday despite pushback from Republican lawmakers and as officials began signaling carve-outs for certain countries.,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.2732}"
108,2018-01-10,12:41:20+0000,"The Berkshire Hathaway head has named Greg Abel and Ajit Jain as vice chairmen, reviving speculation about his eventual successor as C.E.O.","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}"
109,2018-06-14,07:14:17+0000,"Meeting in Latvia, the central bank’s Governing Council outlined a road map for ending its quantitative easing program.","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}"
110,2018-03-07,18:39:30+0000,The administration is expected to formally announce tariffs on Thursday despite pushback from Republican lawmakers and as officials began signaling carve-outs for certain countries.,"{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.2732}"
111,2018-06-14,07:14:17+0000,"Meeting in Latvia, the central bank’s Governing Council outlined a road map for ending its quantitative easing program.","{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.25}"
112,2018-06-10,10:00:04+0000,A judge is expected to release an opinion about the merger of AT&T and Time Warner on Tuesday. The decision could transform the path of many blockbuster deals in an instant.,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.5994}"
113,2018-05-11,12:45:08+0000,"Seasonal demand from buyers is increasing as usual, but shoppers are finding a lack of new listings. Also daunting: coming up with a down payment.","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4939}"
114,2018-03-01,00:17:22+0000,America has a productivity problem. One explanation may be the growing use of real resources to make virtual products.,"{'neg': 0.132, 'neu': 0.784, 'pos': 0.083, 'compound': -0.25}"
115,2018-05-23,21:16:35+0000,Argentina and now Turkey have been forced to raise interest rates to defend their currencies from growing pressure on emerging markets.,"{'neg': 0.193, 'neu': 0.632, 'pos': 0.175, 'compound': -0.128}"
116,2018-05-30,22:53:48+0000,"The bond fund that he runs for Janus is down sharply this year, thanks partly to recent European market turmoil. That comes on the heels of a contentious divorce.","{'neg': 0.144, 'neu': 0.767, 'pos': 0.089, 'compound': -0.2023}"
117,2018-03-01,01:14:41+0000,"Apollo, the private equity firm, and Citigroup made large loans last year to the family real estate business of Jared Kushner, President Trump’s senior adviser.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
118,2018-05-06,19:42:11+0000,"Both Google and Microsoft will hold developers’ conferences, and the Bank of England may hold off on a rate increase as its economy slows.","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}"
119,2018-06-15,10:01:57+0000,"The president approved tariffs on $50 billion worth of Chinese goods. The question is, will he use them?","{'neg': 0.0, 'neu': 0.773, 'pos': 0.227, 'compound': 0.5719}"
120,2018-06-25,13:47:18+0000,"With unemployment low and wages creeping up, companies have an incentive to become more efficient — an exercise that tends to drive economic progress.","{'neg': 0.159, 'neu': 0.573, 'pos': 0.267, 'compound': 0.5256}"
121,2018-04-06,09:08:57+0000,Investors appear to be struggling to anticipate the outcome of a tit-for-tat tariff exchange between the world’s two largest economies. Remarks by the Fed chairman indicated that the investors aren’t alone.,"{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.5859}"
122,2018-01-25,16:13:29+0000,"Steven Mnuchin, whose apparently offhand remark on the dollar caused a tumble, joins many Treasury secretaries whose words have been given more meaning than intended.","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2023}"
123,2018-06-29,11:56:55+0000,The Fed’s tests of the big banks produced some clear winners and losers. Deutsche Bank fared worst.,"{'neg': 0.286, 'neu': 0.496, 'pos': 0.218, 'compound': -0.4215}"
124,2018-03-22,20:16:30+0000,"A brewing trade war between China and the United States sent markets reeling across Asia on Friday, and Europe looked ready to follow suit.","{'neg': 0.134, 'neu': 0.685, 'pos': 0.182, 'compound': 0.1027}"
125,2018-01-12,15:33:47+0000,"With the holidays behind us, now is the moment to wipe out balances — before interest rates continue their climb.","{'neg': 0.0, 'neu': 0.752, 'pos': 0.248, 'compound': 0.6808}"
126,2018-02-23,08:00:39+0000,The unemployment rate for black workers hit its lowest point on record recently. But even a strong labor market has limits in spreading opportunity widely.,"{'neg': 0.174, 'neu': 0.633, 'pos': 0.193, 'compound': 0.1531}"
127,2018-06-11,10:19:43+0000,"Off the back of a rocky G-7 summit, President Trump is headed to talks with North Korea. What happens next could alter fortunes everywhere.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
