,date,time,abstract,sentiment_score
40,2018-05-31,10:06:12+0000,"The German lender, already in trouble with supervisors, must in the coming weeks go through some daunting regulatory tests.","{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.4019}"
41,2018-05-30,15:30:19+0000,"The Fed proposed loosening the Volcker Rule, which prevents banks from trading with depositors’ money. The move is expected to give banks more room for complex trades.","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.0772}"
42,2018-05-30,10:03:08+0000,The ban on proprietary trading is being pared back. Will regulators have the will or power to enforce it?,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.5574}"
43,2018-05-28,15:49:32+0000,An environmental group’s analysis shows the five largest United States banks have started lending to coal companies again now that they’re out of bankruptcy.,"{'neg': 0.0, 'neu': 0.891, 'pos': 0.109, 'compound': 0.4215}"
44,2018-05-26,14:00:11+0000,The party and allied groups are spending more than $4 million on a handful of chaotic congressional races that are critical to Democrats’ strategy to win the House in November.,"{'neg': 0.149, 'neu': 0.676, 'pos': 0.176, 'compound': 0.25}"
45,2018-05-25,19:51:41+0000,"For decades, watches have been symbols of luxury, wealth and personal taste. But their potential as investments is now more easily tracked and understood.","{'neg': 0.0, 'neu': 0.789, 'pos': 0.211, 'compound': 0.7089}"
46,2018-05-25,15:31:30+0000,"State 529 plans, which allow education savings to grow tax free, have been around for more than 20 years. But many families still don’t know about them.","{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.6369}"
47,2018-05-24,07:06:54+0000,"The announcement is the latest sign of the lender’s curtailed ambition, and comes about a month after it said it would shrink its operations in the United States and Asia.","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.4215}"
48,2018-05-23,20:54:37+0000,"A federal regulator that once chased banks out of the market for small, emergency loans wants them to get back in.","{'neg': 0.12, 'neu': 0.88, 'pos': 0.0, 'compound': -0.3818}"
49,2018-05-23,11:02:42+0000,The cable giant’s acknowledgment that it is prepping a bid for Fox appears intended to drive a wedge between Fox’s shareholders and the Murdochs.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
50,2018-05-22,16:14:11+0000,"The bipartisan legislation will now head to President Trump, leaving fewer than 10 big banks subject to stricter post-crisis oversight.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
51,2018-05-21,23:00:48+0000,"Softening the rule, which prohibits banks from making speculative but profitable wagers, is part of the White House’s deregulatory push.","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.6187}"
52,2018-05-21,13:18:57+0000,"The case was the first in the country against a bank for actions during the global financial crisis, and the decision is a blow to British regulators.","{'neg': 0.146, 'neu': 0.854, 'pos': 0.0, 'compound': -0.6249}"
53,2018-05-20,20:40:24+0000,Paul Achleitner made Goldman Sachs a force in Frankfurt and shook up corporate Germany. But he is increasingly blamed for problems at Deutsche Bank.,"{'neg': 0.265, 'neu': 0.735, 'pos': 0.0, 'compound': -0.7351}"
54,2018-05-20,18:24:24+0000,"Financial institutions are using military tools and techniques, like “fusion centers” and combat drills, to battle cybercrime.","{'neg': 0.233, 'neu': 0.651, 'pos': 0.116, 'compound': -0.3612}"
55,2018-05-18,18:13:53+0000,"Lloyd Blankfein’s retirement plans are firming up, and his likely successor, David Solomon, is already laying the groundwork for a new management team.","{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2263}"
56,2018-05-18,16:31:28+0000,"A stronger economy makes it more likely that graduates will be able to find jobs and meet their loan payments, but there are reasons to be cautious.","{'neg': 0.058, 'neu': 0.876, 'pos': 0.066, 'compound': 0.0516}"
57,2018-05-15,00:17:20+0000,"Big banks, private equity firms and national retailers that have vowed to operate with a social conscience could band together to turn Remington into the model of a modern gun company.","{'neg': 0.079, 'neu': 0.921, 'pos': 0.0, 'compound': -0.34}"
58,2018-05-11,15:49:10+0000,"This year, we picked five college application essays about money to publish. College admissions officers admired their maturity, self-awareness and humanity.","{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.5106}"
59,2018-05-11,12:45:08+0000,"Seasonal demand from buyers is increasing as usual, but shoppers are finding a lack of new listings. Also daunting: coming up with a down payment.","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4939}"
60,2018-05-11,11:18:02+0000,The cybersecurity software company said its audit committee had started an internal investigation related to concerns raised by a former employee. Here are some red flags to keep an eye on.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
61,2018-05-10,21:04:56+0000,"As part of its consumer finance push, the Wall Street bank is teaming up with Apple to develop a new credit card that would bear the Apple Pay brand.","{'neg': 0.047, 'neu': 0.867, 'pos': 0.087, 'compound': 0.296}"
62,2018-05-09,13:00:01+0000,"As New York’s attorney general, Mr. Schneiderman used the same playbook that raised the profiles of his predecessors. Whoever fills the job next will probably do the same thing.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
63,2018-05-08,00:21:14+0000,"Following Goldman Sachs’s moves to begin trading Bitcoin, the New York Stock Exchange’s parent company is said to be in talks to open a virtual currency exchange.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
64,2018-05-06,19:42:11+0000,"Both Google and Microsoft will hold developers’ conferences, and the Bank of England may hold off on a rate increase as its economy slows.","{'neg': 0.0, 'neu': 0.905, 'pos': 0.095, 'compound': 0.3182}"
65,2018-05-03,22:07:26+0000,"The company, one of the oldest firearms manufacturers in the country, will be owned by creditors including JPMorgan.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,2018-05-02,21:07:22+0000,"While most big banks have steered clear of virtual currencies, the Wall Street giant will use its own money to trade in Bitcoin-related contracts.","{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.3818}"
67,2018-04-27,17:37:46+0000,"A prenuptial agreement can protect couples planning to wed, but they are often treated casually. A wealth educator wants to change that with his Prenup 101.","{'neg': 0.0, 'neu': 0.661, 'pos': 0.339, 'compound': 0.85}"
68,2018-04-26,10:04:16+0000,The plan by a new chief executive means that the bank is giving up its efforts to compete on equal terms with Wall Street behemoths.,"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.34}"
69,2018-04-25,18:12:47+0000,The Consumer Financial Protection Bureau might grant the banking industry’s wish to take offline a public database of complaints against the industry.,"{'neg': 0.159, 'neu': 0.644, 'pos': 0.197, 'compound': 0.25}"
